Call_Number,Start_Time,End_Time,Elapsed_Time(ms)
1,2024-10-22 04:26:52.310521,2024-10-22 04:26:52.364031,53.510000000000005
2,2024-10-22 04:26:52.465263,2024-10-22 04:26:52.519147,53.884
3,2024-10-22 04:26:52.619969,2024-10-22 04:26:52.671085,51.116
4,2024-10-22 04:26:52.771559,2024-10-22 04:26:52.825417,53.858000000000004
5,2024-10-22 04:26:52.926541,2024-10-22 04:26:52.982699,56.158
6,2024-10-22 04:26:53.084017,2024-10-22 04:26:53.135168,51.151
7,2024-10-22 04:26:53.236124,2024-10-22 04:26:53.290230,54.106
8,2024-10-22 04:26:53.391204,2024-10-22 04:26:53.447044,55.84
9,2024-10-22 04:26:53.548016,2024-10-22 04:26:53.602592,54.576
10,2024-10-22 04:26:53.703056,2024-10-22 04:26:53.752656,49.6
11,2024-10-22 04:26:53.853519,2024-10-22 04:26:53.907075,53.556
12,2024-10-22 04:26:54.008449,2024-10-22 04:26:54.060436,51.987
13,2024-10-22 04:26:54.161176,2024-10-22 04:26:54.222052,60.876
14,2024-10-22 04:26:54.322812,2024-10-22 04:26:54.377467,54.655
15,2024-10-22 04:26:54.478245,2024-10-22 04:26:54.532004,53.759
16,2024-10-22 04:26:54.632797,2024-10-22 04:26:54.689093,56.296
17,2024-10-22 04:26:54.790194,2024-10-22 04:26:54.844111,53.917
18,2024-10-22 04:26:54.944687,2024-10-22 04:26:54.994851,50.164
19,2024-10-22 04:26:55.096524,2024-10-22 04:26:55.155440,58.916000000000004
20,2024-10-22 04:26:55.256413,2024-10-22 04:26:55.308249,51.836
21,2024-10-22 04:26:55.408914,2024-10-22 04:26:55.461135,52.221
22,2024-10-22 04:26:55.561893,2024-10-22 04:26:55.615375,53.482
23,2024-10-22 04:26:55.716022,2024-10-22 04:26:55.769165,53.143
24,2024-10-22 04:26:55.869523,2024-10-22 04:26:55.925293,55.77
25,2024-10-22 04:26:56.026308,2024-10-22 04:26:56.080894,54.586000000000006
26,2024-10-22 04:26:56.181745,2024-10-22 04:26:56.238632,56.887
27,2024-10-22 04:26:56.338818,2024-10-22 04:26:56.391246,52.428000000000004
28,2024-10-22 04:26:56.491855,2024-10-22 04:26:56.542280,50.425
29,2024-10-22 04:26:56.643267,2024-10-22 04:26:56.695893,52.626
30,2024-10-22 04:26:56.796078,2024-10-22 04:26:56.849076,52.998000000000005
31,2024-10-22 04:26:56.950348,2024-10-22 04:26:57.003052,52.704
32,2024-10-22 04:26:57.103643,2024-10-22 04:26:57.159102,55.459
33,2024-10-22 04:26:57.260019,2024-10-22 04:26:57.315883,55.864
34,2024-10-22 04:26:57.416830,2024-10-22 04:26:57.472921,56.091
35,2024-10-22 04:26:57.573258,2024-10-22 04:26:57.626869,53.611
36,2024-10-22 04:26:57.726973,2024-10-22 04:26:57.776579,49.605999999999995
37,2024-10-22 04:26:57.877474,2024-10-22 04:26:57.930434,52.96
38,2024-10-22 04:26:58.031087,2024-10-22 04:26:58.085829,54.742
39,2024-10-22 04:26:58.186730,2024-10-22 04:26:58.239033,52.303000000000004
40,2024-10-22 04:26:58.340525,2024-10-22 04:26:58.395551,55.025999999999996
41,2024-10-22 04:26:58.496096,2024-10-22 04:26:58.548558,52.462
42,2024-10-22 04:26:58.649433,2024-10-22 04:26:58.702942,53.509
43,2024-10-22 04:26:58.803187,2024-10-22 04:26:58.856193,53.006
44,2024-10-22 04:26:58.957090,2024-10-22 04:26:59.012226,55.135999999999996
45,2024-10-22 04:26:59.112553,2024-10-22 04:26:59.166193,53.64
46,2024-10-22 04:26:59.267281,2024-10-22 04:26:59.320077,52.796
